modelName, participant, isFiltered, Accuracy, correct, wrong, False paced, False slowBreath, False stressor, False baseline, SD paced, SD slowBreath, SD stressor, SD baseline, Predictions, Unique Predictions, Paced Samples, slowBreath Samples, Stressor Samples, Baseline Samples
models-eegLib-pure/EEGNet,OpenBCISession_2020-02-23_18-14-52-ISH-2000ep.h5,False,0.36607142857142855,82,142,0,142,0,0,0.0,0.0,0.0,0.0,224,1,50149,50129,45137,15029
models-eegLib-pure/EEGNet,OpenBCISession_2020-02-29_17-19-28-ELI-2000ep.h5,False,0.3721973094170404,83,140,0,140,0,0,0.027096793,0.10119609,0.06413868,0.038607687,223,217,50091,50144,45121,15031
models-eegLib-pure/EEGNet,OpenBCISession_2020-02-29_17-51-57-BAHAR-2000ep.h5,False,0.36936936936936937,82,140,0,140,0,0,0.0,0.0,0.0,0.0,222,1,50125,50154,45095,15030
models-eegLib-pure/EEGNet,OpenBCISession_2020-03-06_10-28-17-LUKE-2000ep.h5,False,0.32882882882882886,73,149,0,0,144,5,0.0,0.0,0.16216229,0.16216229,222,2,50024,50136,45087,15030
models-eegLib-high/Deep,OpenBCISession_2020-02-06_11-26-48-TWO-2000ep-2000ep-2000ep.h5,True,0.18468468468468469,41,181,178,1,0,2,0.11545954,0.06483824,0.045419186,0.07405419,222,6,50174,50139,45091,15088
models-eegLib-high/Deep,OpenBCISession_2020-02-06_12-08-05-THREE-2000ep-2000ep-2000ep.h5,True,0.23318385650224216,52,171,48,33,11,79,0.2237405,0.20480405,0.19703388,0.2599909,223,217,50141,50139,45149,15030
models-eegLib-high/Deep,OpenBCISession_2020-02-07_10-42-36-FOUR.2-2000ep-2000ep-2000ep.h5,True,0.2825112107623318,63,160,44,79,37,0,0.22387059,0.29403254,0.26455107,0.005110007,223,221,50150,50117,45147,15062
models-eegLib-high/Deep,OpenBCISession_2020-02-07_11-12-39-FIVE-2000ep-2000ep-2000ep.h5,True,0.19282511210762332,43,180,16,20,10,134,0.13529383,0.15946074,0.10088224,0.22670113,223,217,50111,50115,45035,15030
models-eegLib-high/Deep,OpenBCISession_2020-02-07_12-09-54-SIX-2000ep-2000ep-2000ep.h5,True,0.22522522522522523,50,172,112,4,36,20,0.24584119,0.10122832,0.19568051,0.17019923,222,218,50138,50031,45084,15040
models-eegLib-high/Deep,OpenBCISession_2020-02-10_10-55-19=ONE.2-2000ep-2000ep-2000ep.h5,True,0.18468468468468469,41,181,171,0,0,10,0.17727217,0.07635553,0.057662793,0.13414378,222,217,50160,50140,45098,15030
models-eegLib-high/Deep,OpenBCISession_2020-02-14_11-09-00-SEVEN-2000ep-2000ep-2000ep.h5,True,0.3183856502242152,71,152,6,0,145,1,0.14356883,0.00204594,0.15652266,0.06638366,223,217,50086,50114,45048,15027
